编号,中文,英语,定义,注释
2.9.1,地下水系统,groundwater system,地下水含水系统和地下水流动系统的统称。,注：由边界围限的、具有统一水力联系的含水地质体，是地下水资源评价的基本单位。具有水量和水；质输入、运移和输出的地下水基本单元及其组合。
2.9.1.1,地下水含水系统,underground water-bearing system,,
2.9.1.2,地下水流动系统,groundwater flow system,由补给源至排泄点（汇）的流面群所构成的、具有统一时空演变过程的地下水体。,
2.9.2,地下水流域,drainage basin of groundwater,地面以下由地下水分水岭所限定的汇水区域。,
2.9.2.1,地下水分水岭,groundwater divide,分割两个地下水流域的最高水位点的连线。,
2.9.3,地下水动态,groundwater regime,地下水水位、水量、水质和水温等要素随时间和空间变化的过程。,
2.9.4,地下水均衡,groundwater balance,地下水量平衡 在一定时段内，地下水系统补给量、排泄量和贮存量变化值之间的数量平衡关系。,
2.9.4.1,正均衡,positive balance,在一定时段内，地下水系统水量的补给量大于排泄量，地下水储量增加。,
2.9.4.2,负均衡,negative balance,在一定时期内，地下水系统水量的补给量小于排泄量，地下水储量减少。,
2.9.5,地下水运动,groundwater movement,地下水受重力作用，在岩土孔隙、裂隙、溶隙中随时空变化的渗透流动。,
2.9.6,地下水循环,groundwater cycle,含水层中地下水交替更新的过程。,
2.9.7,地下水储量,groundwater storage,地下水储存量 groundwater reserve 在地面以下，存在于土壤和含水层中的水量。,
2.9.8,地下水补给,groundwater recharge,地下水含水层自外界或相邻含水层获得水量的过程。,注：地下水的补给方式有降水入渗、灌溉入渗、河渠渗漏和相邻含水层的水量转移等。
2.9.8.1,降水入渗补给,precipitation infiltration recharge,降水入渗补给地下水的过程。,
2.9.8.2,降水入渗补给系数,recharge coefficient of precipitation infiltration,在一定时段内，单位面积上降水入渗补给地下水的水量与同时段内降水量的比值。,
2.9.8.3,降水入渗补给量,recharge quantity by precipitation infiltration,降水入渗对地下水的补给水量。,
2.9.8.4,地表水补给,surface water recharge,,
2.9.8.5,河道渗漏补给系数,recharge coefficient by stream seepage,一定时段内，河道渗漏补给地下水的水量与同时段河道径流量的比值。,
2.9.8.6,河道渗漏补给量,recharge quantity by stream seepage,,
2.9.8.7,水库渗漏补给量,recharge quantity by reservoir seepage,水库渗漏对地下水的补给水量。,
2.9.8.8,凝结水补给,condensation recharge,水汽凝结形成的重力水，下渗补给地下水的过程。,
2.9.8.9,凝结水补给量,recharge quantity by water vapor condensation,,
2.9.8.10,侧向补给,lateral recharge,侧向径流补给地下水的过程。,
2.9.8.11,侧向补给量,lateral recharge quantity,通过侧向地下水径流流入指定区域含水层的水量。,
2.9.8.12,越流补给,leakage recharge,在水头差作用下，相邻含水层通过弱透水层产生垂直渗透补给含水层的过程。,
2.9.8.13,越流补给量,leakage recharge quantity,水头高的含水层中的水通过弱透水层向水头低的含水层中排泄的水量。,
2.9.8.14,灌溉入渗补给,irrigation recharge,灌溉渠道的渗漏以及田间灌溉水的入渗补给地下水的过程。,
2.9.8.15,灌溉入渗补给系数,recharge coefficient of irrigation,,
2.9.8.16,渠系渗漏补给系数,recharge coefficient by canal seepage,,
2.9.8.17,渠系渗漏补给量,recharge quantity by canal seepage,渠道系统渗漏对地下水的补给水量。,
2.9.8.18,渠灌入渗补给系数,recharge coefficient by canal irrigation,用地表水灌溉时，经渠道系统和田间渗漏补给地下水的水量与该渠系相应的灌溉引水量的比值。,
2.9.8.19,渠灌入渗补给量,recharge quantity by canal irrigation,用地表水灌溉时，经渠道系统和田间渗漏对地下水的补给水量。,
2.9.8.20,井灌回归系数,recharge coefficient by groundwater irrigation,用抽取的地下水灌溉时，经渠道系统和田间渗漏回归地下水的水量与抽取水量的比值。,
2.9.8.21,井灌回归量,recharge quantity by groundwater irrigation,用抽取的地下水灌溉时，经渠道系统和田间渗漏回归地下水的水量。,
2.9.8.22,人工补给,artificial recharge,人工回灌 借助工程措施，增强降水的自然下渗，或是将地表水注入地下含水层的过程。,
2.9.8.23,人工回灌补给量,artificial recharge quantity,人工地下水回灌措施对地下水的补给水量。,
2.9.9,地下水排泄,groundwater discharge,地下水含水层向外界或相邻含水层失去水量的过程。,
2.9.9.1,泉,spring,地下水的天然集中地表出露。,
2.9.9.2,温泉,thermal spring,水温超过当地年平均气温而低于沸点的泉。,
2.9.9.3,矿泉,mineral spring,含有一定数量矿物质和气体，有时水温超过 20℃的泉。,
2.9.9.4,上升泉,ascending spring,,
2.9.9.5,下降泉,descending spring,由潜水或上层滞水补给的泉。,
2.9.9.6,渗流,seepage,地下水通过岩石的孔隙和裂隙以及非饱和土壤缓慢流入河渠、水库等地表水体的现象。,
2.9.9.7,泄流,discharge flow,当河流切割含水层时，地下水沿河呈带状排泄的现象。,
2.9.9.8,地下水河道排泄量,groundwater quantity discharging into stream,,
2.9.9.9,侧向流出量,lateral groundwater discharge quantity,地下径流通过侧向流出本区域的水量。,
2.9.9.10,越流排泄量,leaky discharge quantity,指定含水层的地下水经过弱透水层向水头较低的相邻含水层流动形成的地下水排泄量。,
2.9.9.11,河床潜流量,underground flow quantityalong river bed,,
2.9.9.12,潜水蒸发,evaporation from phreatic water,潜水沿土壤孔隙或植物枝叶以水汽的形式逸入大气的过程。,注 1：浅层地下水借土壤毛管的作用，一部分以土壤蒸发的方式进入大气，另一部分以植物散发的方；式进入大气。；注 2：如果地下水位很浅且岩土的空隙较大，则地下水可直接以水面蒸发的方式进入大气。
2.9.9.13,潜水蒸发系数,evaporation coefficient from phreatic water,,
2.9.9.14,潜水蒸发临界深度,critical depth of evaporation from phreatic water,不发生潜水蒸发的最小埋深。,
2.9.9.15,地下水耗减曲线,groundwater depletion curve,,
2.9.10,地下水径流,groundwater runoff,地下径流 groundwater flow 潜水层或隔水层间的含水层对河流、湖泊、沼泽、海洋等水体的潜出或潜入的水流。,
2.9.10.1,地下水径流强度,groundwater runoff intensity,单位时间内通过单位断面的地下水径流量。,
2.9.10.2,地下水径流模数,groundwater runoff modulus 1km2,,
2.9.10.3,地下水径流系数,groundwater runoff coefficient,地下水径流量与同一时间内含水层分布面积上降水总量的比值。,
2.9.10.4,地下水流速,flow velocity of groundwater,,
2.9.11,地下水力坡度,hydraulic gradient of groundwater,地下水水面坡度 沿水流运动方向单位渗流路径上的水头损失。,
2.9.12,地下水水位,groundwater level；groundwater stage,,
2.9.12.1,地下水埋深,buried depth of groundwater,潜水面至地表面的垂直距离。,
2.9.12.2,地下水等水位线图,water table contour map,,
2.9.13,含水层,aquifer,能够贮存、渗透和产出可开采利用水量的饱和岩土层。,
2.9.13.1,含水岩系,water-bearing rock series,由不同岩土层所组成的含水岩体。,
2.9.13.2,含水岩组,water-bearing rock formation,含水岩性相近的岩土层所构成的统一含水岩体。,
2.9.13.3,含水岩性,water-bearing rock property,含水层岩土的物理、化学和力学等性质的总称。,
2.9.14,含水介质,water-bearing medium,赋存地下水且水流在其中运动的岩土物质。,
2.9.14.1,均匀介质,homogeneous water-bearing medium,渗透系数等与空间坐标无关的多孔介质。,
2.9.14.2,非均匀介质,heterogeneous water-bearing medium,渗透系数等随空间坐标变化的多孔介质。,
2.9.14.3,容水性,storativity capacity,,
2.9.14.4,容水度,specific storativity,岩石完全饱水时所能容纳的最大水体积与岩石总体积的比值。,
2.9.14.5,持水性,retention capacity,岩石在重力作用下仍能保持一定水量的能力。,注：含水岩土在重力作用下释水时，由于固体颗粒表面的吸附力和毛细力的作用，岩石空隙中仍能保；持的一定水量。
2.9.14.6,持水度,specific retention,饱水岩层在重力释水后，保持在孔隙中水的体积与岩石体积的比值。,
2.9.14.7,给水性,yield capacity,饱和含水岩土在重力作用下能自由释出一定水量的能力。,
2.9.14.8,给水度,specific yield,饱水岩土层在重力作用下自由排出水的体积与岩土层体积的比值。,注：该定义最早是由苏联给出的，从地下水供水的角度出发，认为给水度是饱和介质在重力排水作用下可以给出的水体积与多孔介质体积之比。J.Bear 认为，若使地下水面下降，则水位下降范围内饱水岩石及相应的支持毛细水带中的水，将因重力作用下移并部分从原先赋存的孔隙中释出。因此认为给水度是指在重力作用下，含水层水位下降一个单位深度（水头），可从单位面积含水层中排出的水量。
2.9.14.9,透水性,moisture permeability,岩土允许水透过的能力。,
2.9.14.10,隔水层,aquifuge；aquiclude；confining bed,没有连通孔隙，既不能吸水、也不能输水的不透水岩土层。,注：该岩土层一般结构致密，导水速率不足以对井或泉提供明显水量。
2.9.14.11,透水层,permeable bed,具有孔隙或裂隙，能透过水量，又可贮存水量而不饱水的岩土层。,
2.9.14.12,弱透水层,aquitard,能够阻碍地下水运动和不向水井提供水量，但可以在毗邻的含水层之间交换一定水量的饱和弱透水岩土层。,
2.9.14.13,含水层特性,aquifer property,表征含水层水力性能和开采条件的特性。,
2.9.14.14,储水系数,storage coefficient,单位面积含水层中水位下降一个单位深度，可从承压含水层中排出的水量。,
2.9.15,包气带,vadose zone；zone of aeration,地面以下潜水面以上与大气相通的地带。,注：该带内的土壤和岩石空隙没有被水充满，包含有空气。水的主要存在形式是气态水、吸附水、薄；膜水和毛细管水。
2.9.15,非饱和带,unsaturated zone,地面以下潜水面以上与大气相通的地带。,注：该带内的土壤和岩石空隙没有被水充满，包含有空气。水的主要存在形式是气态水、吸附水、薄；膜水和毛细管水。
2.9.16,饱和带,saturated zone；zone of saturation,含水层中所有孔隙或裂隙全部被水充填，且水压力大于大气压力的岩土层。,注：该岩土层中的水压力下限等于大气压力。
2.9.17,包气带水,water of vadose zone,埋藏于包气带中的地下水。,
2.9.17,悬着水,vadose water,埋藏于包气带中的地下水。,
2.9.17.1,气态水,vaporous water,以水蒸气状态存在于非饱和含水层岩石空隙中的水。,
2.9.17.2,结合水,bound water,被岩土颗粒的分子引力和静电引力吸附在颗粒或隙壁表面的水。,注：包括吸着水和薄膜水。
2.9.17.3,吸附水,absorbed water；hygroscopic water,吸附于岩土颗粒或隙壁表面结合最牢固的一层水。,
2.9.17.4,薄膜水,pellicular water,结合水的外层，由于分子力而粘附在岩土颗粒上的膜状水。,注 1：由于薄膜水的附着力小于吸附水，几乎不需要加热就可以散发掉。；注 2：吸附水是完全固结在岩土颗粒上的，薄膜水则可以从一个岩土颗粒移动到另一个岩土颗粒上。
2.9.17.4,粘附水,adhesive water,结合水的外层，由于分子力而粘附在岩土颗粒上的膜状水。,注 1：由于薄膜水的附着力小于吸附水，几乎不需要加热就可以散发掉。；注 2：吸附水是完全固结在岩土颗粒上的，薄膜水则可以从一个岩土颗粒移动到另一个岩土颗粒上。
2.9.17.5,毛细管水,capillary water,由于毛管力作用，保持在岩土层毛细空隙中的水分。,
2.9.17.6,支持毛细管水,upward capillary water,上升毛管水 由于毛细管力作用，水从地下水面沿细小岩石空隙上升到一定高度，形成的毛细管水带中的水。,
2.9.17.7,悬着毛细管水,suspended capillary water,在不受地下水补给的情况下，地表上层土壤由于降雨或灌水，借藉毛细管作用所能保持的地表入渗水。,
2.9.17.8,孔角毛细管水,hole-angle capillary water,包气带中，在土壤颗粒接触间隙，由于构成毛细管而形成弯液面，滞留在孔角上的水。,
2.9.17.9,重力水,gravity water,当土壤水含量超过土壤颗粒的吸引力和毛细管力所能保持范围，在重力作用下，由上往下运移的水。,
2.9.17.10,渗透重力水,seepage gravity water,在重力作用下，沿着土壤中大的非毛细管孔隙向下渗透的水。,
2.9.17.11,支持重力水,upward gravity water,在地下水所支持而存在于毛细管孔隙中的连续水体或由土层中相对不透水层阻止渗透水继续向下而形成的水。,
2.9.17.12,凝结水,condensation water,进入包气带岩土空隙中的水蒸气遇冷凝结而形成的水。,
2.9.17.13,上层滞水,perched water,包气带中局部隔水层上所积聚的具有自由水面的重力水。,
2.9.17.14,渗入水,infiltration water,大气降水和地表水通过表层土壤空隙渗入地下的水。,
2.9.17.15,原生水,juvenile water；connate water,地壳深处熔融的岩浆在上升过程中分异出水汽冷凝而成的水。,
